Poet,Poem,Title
Emily Dickinson,"April is the Month of Flowers— 
Away! they come,
In every shape and form, 
And sweetest in the Spring—

The Lily and the Rose—
The Daisy and the Thrush, 
The Primrose and the Violet—
The Morning-Glory and the Sun—

I love the whole May-Day, 
I love the whole May-Day—
The sweetest, in the Fall—
I love the whole of May—

The Sunflower and the Rose, 
The Grapes and the Vine, 
The Apricot and the Plum—
The Yellow and the Green—

I love the whole of June— 
I love the whole of June—
The sweetest, in the Fall— 
I love the whole of June.

They are my very friends— 
My very friends are flowers— 
My very friends are flowers— 
I am their very homes—

O you of my heart and eyes— 
I know no difference— 
It is the same to me—
I am the same to you.

I know a little Garden, 
A little Garden—
A little Garden of my own—
A little Garden of my own—
A little Garden—
A little Garden of my own—",April is the Month of Flowers (28)
Emily Dickinson,"This is the gift of the Rose—
Of the red Rose and the white—
This is the gift of the Rose—
And the Daisy and the Bee—

And what is this, a Vine?
It is the Gift of the Vine - 
One leaf of a leaf is its Treas -
One bunch of a bunch is its Gown—

And what is this, a Wind?
It is the Gift of the Wind - 
That blows, and blows, and blows—
And it is the Gift of the Wind
That calls the leaves to it—

And what is this, a Tree?
It is the Gift of the Tree - 
The Tree of the Tree is its Name—
The tree of the tree is its Home -

And what is this, a Cloud?
It is the Gift of the Cloud - 
That hangs, and hangs, and hangs—
And the Gift of the Cloud
That is a Bubble and a Brand -

And what is this, a Sun?
It is the Gift of the Sun - 
That lights, and lights, and lights
The Sun is its own Hand -

And what is this, a Land?
It is the Gift of the Land - 
That grows, and grows, and grows
The Earth is its own Hand -

And what is this, a Fish?
It is the Gift of the Fish - 
That swims, and swims, and swims
The Water is its own Hand -

And what is this, a Bird?
It is the Gift of the Bird - 
That soars, and soars, and soars
The Air is its own Hand -

And what is this, a Star?
It is the Gift of the Star - 
A Star that shines, and shines, and shines
The Light is its own Hand -

And what is this, a Sea?
It is the Gift of the Sea - 
A Sea that flows, and flows, and flows
The Ocean is its own Hand -

And what is this, a Man?
It is the Gift of the Man - 
A Man whose Heart is its own Hand -
A Man whose Soul is its own Hand -

And what is this, a Soul?
It is the Gift of the Soul - 
The Gift of the Soul -
The Gift of the Soul.",This is the gift of the Rose—
Emily Dickinson,"A small, dark Soul that wandered
Through the City’s noisy streets—
A silent thing, it came
Unto a market-place —
And sitting by the Blocks
Saw a Dead-cart pass —","A small, dark Soul that wandered"
Emily Dickinson,"Love is a Dog-Star—
It has an eye of fire—
It has a tail of hair—
It is an Element—

Love is a Dog-Star—
It is a Dog of such a size—
A Dog that will not spare
A Man for all his days—

And when I think that I am dead,
The Dog will lick my hand—
I will not live to be glad,
For Love is a Dog-Star.",Love is a Dog-Star (482)
Emily Dickinson,"At the Beginning of the World –
No Birds had yet been heard –
No Bees in Air –
No Tree was in the Ground –
No Sun—no Moon—
No Oceans in the Sea –
No Love—No Art –
No Father nor Mother –
No State – No Creed –
No Church – No Home –
No Need of these –
The World was just a Name –

But at the End of the World –
The End of the World –
(For ever and a day)
The Birds begin to sing –
And Bees in Air –
And Trees in Ground –
And Sun in Sea –
And Love – and Art –
And Father and Mother –
And Church – and Home –
And Need of these –
The End of the World",At the Beginning of the World (1048)
Emily Dickinson,"This is the House with many Doors
And not a Way to choose

For Summer's shutters close
And Winter's ripen in the Roof
The Door that leads to Spring
Is always open, if you choose

How blessed is the Dust
That waits to clothe the Dust
If not a Saint would say
""I am the Dust""

Forgets it, all it was,
This Dust, for it is Deed
To live to make a second Spring
With Earth, is not a Sin

Because the Present lasts
And lasts, and lasts, and lasts
Until the Future comes
And comes, and comes, and comes

They called it Spring
The past is come again
It was the Morning",This is the House with many Doors (12)
Emily Dickinson,"A Country of Kindred Souls— 
With Angels of the Presence
In their Order—
I do not know the Clock,
And yet I know that all
Is well, and all is right.",A Country of Kindred Souls (493)
John Keats,"O love! I am not worthy of thy love!
  The stars in heaven are mine, but all I have
  Is thine—my heart, my heart, is thine alone.
And all I ask of heaven is that I may
  Be worthy of thee!—that heaven may send
  Thy love to me, and then I will be blest,
  And all my life shall be a song of praise!
And if this prayer be not granted to my prayer,
  And thou and I be brought into the day,
  And she whom I have loved go hence away,
  Then still my soul shall praise thee through my stay.",Lover's Complaint
John Keats,"Endymion
Beneath a canopy of starry blue,
  In the cool moon-light, in a dreamy wood,
      A youth, the son of Mercury,
      Was sleeping, dreaming of a word
          From a divinèd maid.

At the close of day he rose, and in the stillness of the wood
  Heard a voice that sang:
“Endymion! Endymion!”

With a thrilling cry he sprang up, and the moon looked down on
      him with her bright face.

“O you whose name is never known to mortals, what is the
      word that I am dreaming of?”

“Endymion! Endymion!”

The voice grew low and tender, as if some one were whispering
      in his ear:
“Endymion! Endymion!”

The youth bent down his head, and the low voice went on, and
      the tones of her lips were so divine,

“Endymion! Endymion!”

A sudden thought was in his mind, and he looked up, and the
      celestial figure stood before him.

“What is the word I am dreaming of?”

“Endymion!”

“Then I have found it.”

He woke; and the wood echoed with his laughter, and the
      moon smiled in his eyes.

“I have found it!”

So the story goes, but whether it is true or not we do not
      know.",Endymion
John Keats,"Sleep, gentle Sleep, when weary eyes repose,
  And the bright day be over-clouded by dreams
  Of the fair goddess, whose eye hath not known
  The lure of aught save a smile—sleep on,
  For I will be with thee and keep thee warm
    With the love that is true.",To Sleep
John Keats,"Ode on a Grecian Urn
The Power of Music

A thing of shreds and patches,
  It holds together
  With the strength of Silence,
    When each heart faints
  With the anguish of love;
    It binds the unloosèd
    In a perfect bond.

As a wind in its melody
  Is the voice of the sea,
    It is the breath of the land;
  It is the pulse of the mind,
    It is the hope of the blind
    In the darkness of death.

It is a light from above,
  It is a star in the sky,
    And a flower in the mead;
  It is a beautiful dream,
    It is a golden gleam,
    In the night of the brain.

It is a love, a hope, a love,
  And a light in the dark;
    It is a flower in the mead;
  It is a beauty above,
    It is a star in the sky,
    And a light in the dark.

It is a light from above,
  It is a star in the sky,
    And a flower in the mead;
  It is a beauty above,
    It is a love in the dark,
    And a light in the mead.

It is a thing of shreds and patches,
  It holds together
  With the strength of silence,
    When each heart faints
  With the anguish of love;
    It binds the unloosèd
    In a perfect bond.",Ode on a Grecian Urn
John Keats,"O wondrous change! O strange transmigration
   Of vital powers, when, lo! a beaming face
   Appears in the mist of distance, and we trace
The spirit of summer’s smiling hours to spring!
The year is gone, and its dear images
   Have fled for ever,—yet we greet it well,
   And ask its blessing, knowing that the dews
That moisten the white roses now will be
   The cherries and the violets on the hill.",To Autumn
John Keats,"Isabella, to Angelo:  O! that the
  Sun that shines on thee should shine on
  Me too! that I might see thee as
  Thou art, and not as mine eyes see thee!
  O! that the skies that overcast thee
  Should smile upon me too! that, instead
  Of thy pale looks, my cheeks might bear
  The print of thy fair flower, as they
  Now bear the print of my dear love’s
  Tears, thy pillow! for it seems
  To me, that were I to lie alone
  Upon the cold earth, I could not
  Be more lone than I, if the angels
  That love thee, did not keep their state
  Around thee, and before thee, and
  Awhile look down upon thee, and
  Sing thee to sleep.  Is there in
  The world a place where I could go,
  And be at rest?  O that it were!
  Or, if not, that I might see thee
  Often, and that I might return
  To thee again!  Oh!  Isabella!
  Is there a flower in all the world
  So like thy face?  If there be,
  Would I might pluck it!  O! that I
  Were where thy feet have trod!  Then,
  I would give all the wealth I have
  To be as rich as thou art poor.","Isabella, to Angelo"
John Keats,"La Belle Dame Sans Merci
Whom no man can behold,
Without he feels
A pleasure sharp as pain,
And suffers ecstasy.
(In after-years,
When I can feel
No ecstasy but such
As one by woe is feigned,
To lie in tears,
And weep my fill)—
Then shall I think
Of thee in joy,
And all the pleasures
That in me are.
And if for such
As these
The women be,
The men should wed them.",La Belle Dame Sans Merci
John Keats,"From the hour I am possess’d with love,
    Sweet love, for ever;
From the hour I am possess’d with love,
    Sweet love, for ever;
No more the heart that love must please,
    Nor the brow that heaves,
    No more the bosom that heaves,
    For ever,
    For ever.",From the Hour I Am Possest
John Keats,"Come! and when the evening shades are on me,
  Come! and when the evening shades are on,
  Come! and when the evening shades are on me,
Come! and when the evening shades are on me,
  Come! and when the evening shades are on me,
  Come! and when the evening shades are on me,
  Come! and when the evening shades are on me,
  Come! and when the evening shades are on me.",To Fanny Brawne
John Keats,"To one who has been long in city pent,
  ’Tis very sweet to look into the fair
  And open face of heaven,—to breathe a prayer
Full in the smile of the blue firmament.
Who is more happy, when, with hearts content,
  Fatigued he sinks into some pleasant lair
  Of wavy grass, and reads a debonair
And gentle tale of love and languishment?
Returning home at evening, with an ear
  Catching the notes of Philomel,—an eye
Watching the sailing cloudlet’s bright career,
  He mourns that day so soon has glided by;
E’en like the passage of an angel’s tear
  That falls through the clear ether silently.",To one who has been long in city pent
Langston Hughes,"I dream a dream of the river

And I dream of the mountains
And I dream of the mighty sea.
And all I want is to live,
I want to live and I want to love.
I want to love and I want to live.

I want to live and I want to love.

I want to live and I want to love.

And I want to live and I want to love.",Variation
Langston Hughes,"I heard a voice in the night
That I had never heard before.
It was not the wind or the rain
Nor the voice of my children or wife.

It was the voice of my people, my mother and father
Who came from the old country,
From the sun-bleached plains of the West,
To the sun-dazzled prairies of the South.

My people, my mother and father
Who came from the old country,
From the sun-bleached plains of the West,
To the sun-dazzled prairies of the South.

They spoke the same words that I speak,
I heard the same words that they spoke,
And I knew in the dark of the night
That the voice of my people is strong.

It is the voice of the farmer,
The voice of the Negro,
The voice of the poor man
The voice of the people.

It is the voice of the farmer,
The voice of the Negro,
The voice of the poor man
The voice of the people.",Dreams
Langston Hughes,"For the wreckers of the world—
The hard and greedy men—
Who sweep the weak aside
Like leaves and gather gain,
There is no victory.

For the wreckers of the world—
The poor and hungry men—
Who rob the weak and helpless
And make each other slaves,
There is no victory.

There is only a twisted path
Where the weak are trodden down,
And a little shivering heap
Is left of all that once was proud,
And the wreckers walk in the sun.",The Wreckers
Langston Hughes,"To be born of the sun,
To dance in the face of the sun,
To whirl and to dance,
To rest in the cool of the evening,
To rest under a tall tree,
To be black like me.

To be born of the sun,
To dance in the face of the sun,
To whirl and to dance,
To rest in the cool of the evening,
To rest under a tall tree,
To be black like me.",The Dreamers
Langston Hughes,"In the black of night,

We saw the sun

In the white of day,

And the same sun rose again

In the black of night.

We saw the dark of night

In the light of day,

And the same sun rose again

In the black of night.

And we saw the dark of night

In the light of day,

And the same sun rose again

In the black of night.",For Us to See
Langston Hughes,"I went down to the river,
I set down on the bank.
I tried to think but couldn't,
So I jumped in and sank.

I came up once and hollered!
I came up twice and cried!
If that water hadn't a-been so cold
I might've sunk and died.

     But it was      Cold in that water!      It was cold!

I took the elevator
Sixteen floors above the ground.
I thought about my baby
And thought I would jump down.

I stood there and I hollered!
I stood there and I cried!
If it hadn't a-been so high
I might've jumped and died.

     But it was      High up there!      It was high!

So since I'm still here livin',
I guess I will live on.
I could've died for love—
But for livin' I was born

Though you may hear me holler,
And you may see me cry—
I'll be dogged, sweet baby,
If you gonna see me die.

     Life is fine!      Fine as wine!      Life is fine!",The Negro Speaks of Rivers
Langston Hughes,"To fling my arms wide
In some place of the sun,
To whirl and to dance
Till the white day is done.
Then rest at cool evening
Beneath a tall tree
While night comes on gently,
    Dark like me—
That is my dream!

To fling my arms wide
In the face of the sun,
Dance! Whirl! Whirl!
Till the quick day is done.
Rest at pale evening...
A tall, slim tree...
Night coming tenderly
    Black like me.",Dream Variations
Langston Hughes,"I've dreamt a dream of freedom,
I've seen a shining land.

Beyond a great, red river
I've seen a shining land.

I've seen a shining land
Beyond the sky-colored sea.

I've seen a shining land
Beyond the sky-colored sea.

I've seen a shining land
Beyond the sky-colored sea.

I've seen a shining land
Beyond the sky-colored sea.

Beyond a great, red river
I've seen a shining land.",A Dream of Freedom
Langston Hughes,"Let America be America again,
Let it be the dream it used to be,
Let it be the dream we used to dream—
Let it be the hope we used to hope
For—
Let it be America again!

Let America be America again, my country, my country,
Let America be America again,
Let it be the dream it used to be,
Let it be the dream we used to dream,
Let it be the hope we used to hope for,
Let it be America again.",Let America Be America Again
Langston Hughes,"I've been down on the sea shore
Where the Atlantic is restless
With its heavy rollin' and tumblin'
And its gray-green waves.
I've been down on the sea shore
Where the deep waters roar,
And the angry sea is boisterous
And the wind is hoarse.

I've been down on the sea shore
Where the Atlantic is restless
With its heavy rollin' and tumblin'
And its gray-green waves.
I've been down on the sea shore
Where the deep waters roar,
And the angry sea is boisterous
And the wind is hoarse.

I've been down on the sea shore
Where the Atlantic is restless
With its heavy rollin' and tumblin'
And its gray-green waves.
I've been down on the sea shore
Where the deep waters roar,
And the angry sea is boisterous
And the wind is hoarse.",On the Sea Shore
Naomi Shihab Nye,"In the distance, the fields of wheat

thresh, winnowed into powder.

This is how the farmer
who lived here

would have wanted it to end.

He must have known the price

of that peace,

the day he walked out of the fields

with his hand on his son's shoulder

and saw the tailor's dog

pulling a piece of cloth

from the wind.

He saw the blood in the dust.

The day his son died.

The day he died.",Tailor's Dog
Naomi Shihab Nye,"A man of two minds,

who holds his own hands

in a sky-blue embrace.",Hands
Naomi Shihab Nye,"There are stories like this.

They come to me

the lines grow fainter,

smaller, farther apart,

a kind of childhood playground

or summer camp that no longer exists

or someone you barely know

whose life you can’t understand,

your own pain is so much harder to read.

I have no words.",From the End of the Line
Naomi Shihab Nye,"Their bodies are flowers.

Their cheeks, petals.

Their lips, soft.

Their eyes, like turquoise.

Their noses, like almonds.

Their hair, black and long.

Their thighs, ripe.

Their breasts, small, and sweet.

Their bellies, swollen.

Their arms, strong.

Their hands, skilled.

Their feet, delicate.

Their voices, like singing.

Their laughter, like birds.

Their bodies, like gardens.",A Garden of Women
Naomi Shihab Nye,"In the kitchen of my grandmother's home
I try to hold myself together. 
I'm the first, the only one of us
to have been circumcised. 
I try to hold myself together
and in my mind I am holding the people I love
who are all sleeping. 
My mother's mother, my grandmother, 
my aunts, the girls who will never be me,
the women who will never be me. 
I'm holding them all together.",Khatna
Naomi Shihab Nye,"And I have been told that sometimes, in
the middle of the night, there is a sudden
remembrance of all the things I have done,
that I have not done, that I have not done.
And this always strikes me as a strange,
strange thing to remember.

I have seen my father,

but I have not seen my father.

I have touched my father.

But I have not touched my father.

I have heard my father.

But I have not heard my father.

And what I have heard and seen and touched

I have not done.

And I have not done.",The Ties That Bind
Naomi Shihab Nye,"This is what I would do

with my country

when I was a girl.

I would sit down

on a park bench

in the middle of a busy city

and pretend to eat ice cream

because it was easy,

and then I would sit

and pretend to read

the newspaper

because I could.

I would pretend

to watch

the people go by

and then I would get up

and walk away

and pretend to live

in the world.",Killing Your Country
Naomi Shihab Nye,"It’s true, I would give anything to go back,
to sleep on a hard mattress on a farm.

To sleep in a barn, and eat the animals.

But that was never my home.

My home was in the city of no name

where the four year old was shot,

where our cousin was burned,

where we were living on the sidewalk

because of our father’s politics.

The home of the sun, so hot it kills.

The home of a burning house, a funeral pyre.

So many of us are always

going back.

But I do not go back,

I am going forward.",Who Knows What
Naomi Shihab Nye,"I found a man in a bread line
in the alley behind my house,
trying to make sense of the notes he had written.
I could tell from his shoes that he had been on the road
for a long time.

He asked me to speak to the crowd
in English, not Spanish,
in Arabic.

He wrote out a message on a piece of paper
and then he handed it to me.

He said, ""You can tell them
I am not a terrorist.
I am a writer.""

I am writing this, I read,
because I am in love with my country.

I am writing this because I am in love with my country.

I am writing this because I am in love with my country.

I am writing this because I am in love with my country.",Bread
Naomi Shihab Nye,"I have decided to return to New York

this year.

I've lived in New York for two years.

I've learned to say goodbye to the world.

I've learned to give it all up

like I did my family.

I can take off my green shirt

and throw it in the garbage can.",Farewell
Robert Frost,"The wounds of the world I heard him say,
Though from his lips there blew no sigh
Nor did he say “thee” to the one he meant
Who, neither turned nor spoke, came to his bed.
And he said, “The wounds of the world I heard
As one who listens for a step on the stair.”
I think it was the step of a wound, not his.",The Wound Dresser
Robert Frost,"You that are not much for walking out of doors,
Lately I have found myself thinking more
About the eye than the foot and more than the ear,
And that, after all, is where the spirit comes in,
As the eye sees and the foot feels and the ear hears,
But it is the eye that really matters.
For my part I have had a few such eyes
That I remember. But to me the eye
That is the greatest gift of all, if you will,
For it makes of a man a poet, for it can
Look into the things of the world and the soul
And see as far and deep as the horizon's rim
As far as the farthest star or the farthest shore.
Oh, and yet I have seen some eyes that looked
Upon the far horizon and were blind as bats
To what was nearer than the stars or nearer
Than the earth's farthest crust.
Now, there are some who would have it that the eye
Is only a sight-organ and not a soul-eye,
And that you cannot look into the things of the world
Or see into the things of the soul without
Being drawn out of the body and swept away
Into the sights of heaven. And they are right.
But there are eyes that have a vision of their own
Of the deeps of heaven and the earth and the soul,
And yet remain in the body and have all
The faculties of the body. It is not the eye
But the eye's eye that matters. It is not the eye
But the eye that is the highest gift of all,
And the eye that is the greatest gift of all,
For it is the one that can see and not be seen.",The Gifts of a Quiet Eye
Robert Frost,"I went to a strange place and saw a face
I did not know,
But it was mine.
The face was so long that its hair
Was like a field of sunflowers.
I said, ""Who are you?""
And it said, ""I am the last of us.""
""Where are you going?""
""I go to the end of the world.""
""And you'll be there for a long time?""
""For a long time.""
""How can you be so sure?""
""Because I am a ghost.""",The Broken Estate
Robert Frost,"One sorrow only
Would I have:
That grief should not
Be one
And all my life
The grief of that
One sorrow.
I would have
My life
To be no more
Than a single
One-day-at-a-time
Dawn-and-sunset
With no middle
Of noon.
I would not
Have the whole
Of my life
Be the whole
Of one sorrow,
That grief
Should not be
One
And all my life
The grief of that
One sorrow.",One Sorrow
